query_type,query_value,rank,doc_id,specter_score,title,categories,abstract
text,Neutrino decays as a natural explanation of the neutrino mass tension,1,hep-ph/0204288,0.9129815101623535,"Neutrinos, Grand Unification and Leptogenesis",hep-ph astro-ph hep-ex hep-th,"  Data on solar and atmospheric neutrinos provide evidence for neutrino masses
and mixings. We review some basic neutrino properties, the status of neutrino
oscillations and implications for grand unified theories, including
leptogenesis.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,2,hep-ph/0703263,0.9111493825912476,Lorentz violation and neutrino oscillations,hep-ph,"  Lorentz violation naturally leads to neutrino oscillations and provides an
alternative mechanism that may explain current data. In this work, we discuss
possible signals of Lorentz violation in neutrino-oscillation experiments.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,3,hep-ph/0412148,0.910741925239563,Phenomenology of Absolute Neutrino Masses,hep-ph,"  The phenomenology of absolute neutrino masses is reviewed, focusing on
tritium beta decay, cosmological measurements and neutrinoless double-beta
decay.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,4,hep-ph/0410090,0.9091125726699829,The History of Neutrino Oscillations,hep-ph,"  The early history of neutrino masses, mixing and oscillations is briefly
reviewed.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,5,hep-ph/0012203,0.9087839722633362,"Neutrino mass and oscillation as probes of physics beyond the Standard
  Model",hep-ph,"  We present a review of the present status of the problem of neutrino masses
and mixing including a survey of theoretical motivations and models,
experimental searches and implications of recently appeared solar and
atmospheric neutrino data, which strongly indicate nonzero neutrino masses and
mixing angles.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,6,hep-ph/9408277,0.907597541809082,Recent Results in Neutrino Physics,hep-ph,"  This is a survey of the current experimental information on some of the
interesting issues in neutrino physics: neutrino species, neutrino masses,
neutrino magnetic moments, solar neutrinos, and the atmospheric neutrino
anomaly.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,7,hep-ph/0307155,0.9064375758171082,Some remarks on neutrino oscillation and masses,hep-ph,"  We discuss an Ansatz for the neutrino mixing matrix and speculate on the form
and origin of the neutrino mass matrix.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,8,hep-ph/9501209,0.9058184623718262,Scenarios And Signals Of Very Heavy Neutrinos,hep-ph,"  Preliminary remarks, theoretical scenarios, cosmological constraints,
couplings of very heavy neutrinos, production mechanisms and detection,
summary.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,9,hep-ph/0506307,0.9056312441825867,Neutrino mass and mixing parameters: A short review,hep-ph,"  We present a brief review of the current status of neutrino mass and mixing
parameters, based on a comprehensive phenomenological analysis of neutrino
oscillation and non-oscillation searches, within the standard three-neutrino
mixing framework.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,10,hep-ph/0510175,0.9054465293884277,"Neutrino Masses, Mixing and Oscillations",hep-ph,"  Basics of neutrino oscillations is discussed. Importance of time-energy
uncertainty relation is stressed. Neutrino oscillations in the leading
approximation and evidence for neutrino oscillations are briefly summarized.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,11,hep-ph/9710251,0.9047897458076477,"Neutrinos: past, present, future",hep-ph,"  A general overview of neutrino physics is given. The history of the neutrino
starting from Pauli and Fermi is briefly presented. Two-component neutrinos,
the phenomenological V-A theory and the standard model are discussed. The
problem of neutrino masses and mixing is reviewed.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,12,hep-ph/9905426,0.9041416645050049,Exotic Explanations for Neutrino Anomalies,hep-ph hep-ex,"  I review explanations for the three neutrino anomalies (solar, atmospheric
and LSND) which go beyond the ``conventional'' neutrino oscillations induced by
mass-mixing. Several of these require non-zero neutrino masses as well.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,13,1001.5189,0.9040198922157288,Status of Neutrino Theory,hep-ph,"  A summary of neutrino oscillation results is given along with a discussion of
neutrino mass generation mechanisms, including high and low-scale seesaw, with
and without supersymmetry, as well as recent attempts to understand flavor. I
argue that if the origin of neutrino masses is intrinsically supersymmetric, it
may lead to clear tests at the LHC. Finally, I briefly discuss thermal
leptogenesis and dark matter.
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,14,hep-ph/0506165,0.9033095836639404,Neutrino Physics,hep-ph,"  Thanks to compelling evidence that neutrinos can change flavor, we now know
that they have nonzero masses, and that leptons mix. In these lectures, we
explain the physics of neutrino flavor change, both in vacuum and in matter.
Then, we describe what the flavor-change data have taught us about neutrinos.
Finally, we consider some of the questions raised by the discovery of neutrino
mass, explaining why these questions are so interesting, and how they might be
answered experimentally,
"
text,Neutrino decays as a natural explanation of the neutrino mass tension,15,1301.5511,0.9030682444572449,Models for Neutrino Masses and Mixings,hep-ph,"  We review recent developments towards models for neutrino masses and mixings.
"
